participant,id,adjectivestring,filler_acceptability,item_type,scenario,adj_target,adj_secondary,adj_secondary_type,order,group,condition,response,time
9,ch_test_8,long discounted,,test,couch,long,discounted,absolute,first,2,bimodal,5,5.321
9,tv_filler_1,,questionable,filler,tv,,,,,2,unimodal,2,5.376
9,tv_filler_2,,questionable,filler,tv,,,,,2,unimodal,1,2.772
9,tv_filler_3,,acceptable,filler,tv,,,,,2,unimodal,5,1.564
9,tv_filler_4,,acceptable,filler,tv,,,,,2,unimodal,5,1.861
9,tv_filler_5,,acceptable,filler,tv,,,,,2,unimodal,5,1.727
9,tv_filler_6,,unacceptable,filler,tv,,,,,2,unimodal,1,1.702
9,tv_filler_7,,unacceptable,filler,tv,,,,,2,unimodal,1,2.293
9,tv_filler_8,,unacceptable,filler,tv,,,,,2,unimodal,1,1.464
9,tv_filler_9,,unacceptable,filler,tv,,,,,2,unimodal,1,2.68
9,tv_filler_10,,acceptable,filler,tv,,,,,2,unimodal,5,2.059
9,ch_filler_1,,questionable,filler,couch,,,,,2,bimodal,4,6.663
9,ch_filler_2,,acceptable,filler,couch,,,,,2,bimodal,5,2.038
9,ch_filler_3,,acceptable,filler,couch,,,,,2,bimodal,5,2.044
9,ch_filler_4,,questionable,filler,couch,,,,,2,bimodal,3,35.596
9,ch_filler_5,,questionable,filler,couch,,,,,2,bimodal,3,12.204
9,ch_filler_6,,acceptable,filler,couch,,,,,2,bimodal,5,1.748
9,ch_filler_7,,unacceptable,filler,couch,,,,,2,bimodal,1,2.128
9,ch_filler_8,,unacceptable,filler,couch,,,,,2,bimodal,1,1.824
9,ch_filler_9,,acceptable,filler,couch,,,,,2,bimodal,5,6.396
9,ch_filler_10,,unacceptable,filler,couch,,,,,2,bimodal,1,2.282
10,tv_test_1,big expensive,,test,tv,big,expensive,scalar,first,2,unimodal,5,1.499
10,tv_test_2,expensive big,,test,tv,big,expensive,scalar,second,2,unimodal,5,2.813
